DATE,TIME,ARGUMENTS,SEED,REPRESENTATION,ALGORITHM,VERTICES,DENSITY,TYPE,EXECUTION TIME (us),AVERAGE (us),MIN (us),MAX (us)
2026-06-16,21:28:54,-f -i ./../datasets/USA-road-d.NY.csv -p 0 -a 2 -s 2 -n 50 -o ./output.tmp.txt -r dataset_results.csv -c 0 -e 264345,NOT_SUPPORTED,ADJACENCY_LIST,KRUSKAL,264346,0,SINGLE_RUN,380732us,,,
2026-06-16,21:28:56,-f -i ./../datasets/USA-road-d.NY.csv -p 0 -a 2 -s 2 -n 50 -o ./output.tmp.txt -r dataset_results.csv -c 0 -e 264345,NOT_SUPPORTED,ADJACENCY_LIST,KRUSKAL,264346,0,SINGLE_RUN,379646us,,,
2026-06-16,21:28:57,-f -i ./../datasets/USA-road-d.NY.csv -p 0 -a 2 -s 2 -n 50 -o ./output.tmp.txt -r dataset_results.csv -c 0 -e 264345,NOT_SUPPORTED,ADJACENCY_LIST,KRUSKAL,264346,0,SINGLE_RUN,376395us,,,
2026-06-16,21:28:59,-f -i ./../datasets/USA-road-d.NY.csv -p 0 -a 2 -s 2 -n 50 -o ./output.tmp.txt -r dataset_results.csv -c 0 -e 264345,NOT_SUPPORTED,ADJACENCY_LIST,KRUSKAL,264346,0,SINGLE_RUN,379533us,,,
2026-06-16,21:29:00,-f -i ./../datasets/USA-road-d.NY.csv -p 0 -a 2 -s 2 -n 50 -o ./output.tmp.txt -r dataset_results.csv -c 0 -e 264345,NOT_SUPPORTED,ADJACENCY_LIST,KRUSKAL,264346,0,SINGLE_RUN,382898us,,,
2026-06-16,21:29:02,-f -i ./../datasets/USA-road-d.NY.csv -p 0 -a 2 -s 2 -n 50 -o ./output.tmp.txt -r dataset_results.csv -c 0 -e 264345,NOT_SUPPORTED,ADJACENCY_LIST,KRUSKAL,264346,0,SINGLE_RUN,378932us,,,
2026-06-16,21:29:04,-f -i ./../datasets/USA-road-d.NY.csv -p 0 -a 2 -s 2 -n 50 -o ./output.tmp.txt -r dataset_results.csv -c 0 -e 264345,NOT_SUPPORTED,ADJACENCY_LIST,KRUSKAL,264346,0,SINGLE_RUN,377752us,,,
2026-06-16,21:29:05,-f -i ./../datasets/USA-road-d.NY.csv -p 0 -a 2 -s 2 -n 50 -o ./output.tmp.txt -r dataset_results.csv -c 0 -e 264345,NOT_SUPPORTED,ADJACENCY_LIST,KRUSKAL,264346,0,SINGLE_RUN,380788us,,,
2026-06-16,21:29:07,-f -i ./../datasets/USA-road-d.NY.csv -p 0 -a 2 -s 2 -n 50 -o ./output.tmp.txt -r dataset_results.csv -c 0 -e 264345,NOT_SUPPORTED,ADJACENCY_LIST,KRUSKAL,264346,0,SINGLE_RUN,385646us,,,
2026-06-16,21:29:08,-f -i ./../datasets/USA-road-d.NY.csv -p 0 -a 2 -s 2 -n 50 -o ./output.tmp.txt -r dataset_results.csv -c 0 -e 264345,NOT_SUPPORTED,ADJACENCY_LIST,KRUSKAL,264346,0,SINGLE_RUN,376537us,,,
2026-06-16,21:29:10,-f -i ./../datasets/USA-road-d.NY.csv -p 0 -a 2 -s 2 -n 50 -o ./output.tmp.txt -r dataset_results.csv -c 0 -e 264345,NOT_SUPPORTED,ADJACENCY_LIST,KRUSKAL,264346,0,SINGLE_RUN,379241us,,,
2026-06-16,21:29:12,-f -i ./../datasets/USA-road-d.NY.csv -p 0 -a 2 -s 2 -n 50 -o ./output.tmp.txt -r dataset_results.csv -c 0 -e 264345,NOT_SUPPORTED,ADJACENCY_LIST,KRUSKAL,264346,0,SINGLE_RUN,377188us,,,
2026-06-16,21:29:13,-f -i ./../datasets/USA-road-d.NY.csv -p 0 -a 2 -s 2 -n 50 -o ./output.tmp.txt -r dataset_results.csv -c 0 -e 264345,NOT_SUPPORTED,ADJACENCY_LIST,KRUSKAL,264346,0,SINGLE_RUN,383551us,,,
2026-06-16,21:29:15,-f -i ./../datasets/USA-road-d.NY.csv -p 0 -a 2 -s 2 -n 50 -o ./output.tmp.txt -r dataset_results.csv -c 0 -e 264345,NOT_SUPPORTED,ADJACENCY_LIST,KRUSKAL,264346,0,SINGLE_RUN,379157us,,,
2026-06-16,21:29:16,-f -i ./../datasets/USA-road-d.NY.csv -p 0 -a 2 -s 2 -n 50 -o ./output.tmp.txt -r dataset_results.csv -c 0 -e 264345,NOT_SUPPORTED,ADJACENCY_LIST,KRUSKAL,264346,0,SINGLE_RUN,380513us,,,
